
09-09-2026 16:55:58 RAM 16426/125749MB (lfb 5x4MB) CPU [100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,1%@972,1%@972,0%@972,0%@972,0%@972,0%@972,0%@972] cpu@36.875C/37.656C tj@37.531C/39.781C soc012@36.562C/37.218C gpu@37.531C/39.781C soc345@37.312C/39.187C VDD_GPU 4336mW/8406mW/23644mW VDD_CPU_SOC_MSS 7487mW/8520mW/12216mW VIN_SYS_5V0 6552mW/9716mW/18677mW VIN 26400mW/33427mW/68156mW
09-09-2026 16:55:59 RAM 17942/125749MB (lfb 4x4MB) CPU [100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,8%@972] cpu@36.687C/37.656C tj@37.437C/39.781C soc012@36.468C/37.218C gpu@37.437C/39.781C soc345@36.968C/39.187C VDD_GPU 3548mW/8334mW/23644mW VDD_CPU_SOC_MSS 7487mW/8504mW/12216mW VIN_SYS_5V0 6350mW/9665mW/18677mW VIN 25188mW/33306mW/68156mW
09-09-2026 16:56:00 RAM 19454/125749MB (lfb 5x4MB) CPU [100%@2601,0%@2601,0%@972,0%@972,1%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,6%@972] cpu@36.468C/37.656C tj@37.187C/39.781C soc012@36.531C/37.218C gpu@37.187C/39.781C soc345@36.906C/39.187C VDD_GPU 3153mW/8259mW/23644mW VDD_CPU_SOC_MSS 7487mW/8490mW/12216mW VIN_SYS_5V0 6350mW/9617mW/18677mW VIN 23168mW/33161mW/68156mW
09-09-2026 16:56:01 RAM 20968/125749MB (lfb 4x4MB) CPU [100%@2601,0%@2601,0%@972,1%@972,0%@972,0%@972,0%@972,0%@972,1%@972,0%@972,0%@972,0%@972,0%@972,6%@972] cpu@36.437C/37.656C tj@37.093C/39.781C soc012@36.25C/37.218C gpu@37.093C/39.781C soc345@36.812C/39.187C VDD_GPU 3153mW/8187mW/23644mW VDD_CPU_SOC_MSS 7487mW/8476mW/12216mW VIN_SYS_5V0 6350mW/9571mW/18677mW VIN 24448mW/33040mW/68156mW
09-09-2026 16:56:02 RAM 22486/125749MB (lfb 4x4MB) CPU [100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,6%@972,3%@972,1%@972,0%@972,0%@972,5%@972] cpu@36.218C/37.656C tj@36.906C/39.781C soc012@36.156C/37.218C gpu@36.906C/39.781C soc345@36.781C/39.187C VDD_GPU 3153mW/8118mW/23644mW VDD_CPU_SOC_MSS 7487mW/8462mW/12216mW VIN_SYS_5V0 6350mW/9527mW/18677mW VIN 23420mW/32910mW/68156mW
09-09-2026 16:56:03 RAM 24002/125749MB (lfb 5x4MB) CPU [100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,1%@972,0%@972,0%@972,0%@972,0%@972,6%@972] cpu@36.187C/37.656C tj@36.812C/39.781C soc012@36.062C/37.218C gpu@36.812C/39.781C soc345@36.656C/39.187C VDD_GPU 3153mW/8052mW/23644mW VDD_CPU_SOC_MSS 7487mW/8449mW/12216mW VIN_SYS_5V0 6249mW/9484mW/18677mW VIN 23830mW/32791mW/68156mW
09-09-2026 16:56:04 RAM 25512/125749MB (lfb 4x4MB) CPU [100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@1242,7%@1242] cpu@36.156C/37.656C tj@36.843C/39.781C soc012@35.937C/37.218C gpu@36.843C/39.781C soc345@36.5C/39.187C VDD_GPU 3153mW/7988mW/23644mW VDD_CPU_SOC_MSS 7487mW/8437mW/12216mW VIN_SYS_5V0 6249mW/9442mW/18677mW VIN 23726mW/32675mW/68156mW
09-09-2026 16:56:05 RAM 27042/125749MB (lfb 5x4MB) CPU [100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,5%@972] cpu@35.968C/37.656C tj@36.625C/39.781C soc012@35.906C/37.218C gpu@36.625C/39.781C soc345@36.5C/39.187C VDD_GPU 3153mW/7927mW/23644mW VDD_CPU_SOC_MSS 7487mW/8424mW/12216mW VIN_SYS_5V0 6249mW/9401mW/18677mW VIN 23398mW/32559mW/68156mW
09-09-2026 16:56:06 RAM 28558/125749MB (lfb 4x4MB) CPU [100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,1%@972,0%@972,0%@972,0%@972,0%@972,6%@972] cpu@36C/37.656C tj@36.656C/39.781C soc012@35.812C/37.218C gpu@36.656C/39.781C soc345@36.437C/39.187C VDD_GPU 3153mW/7868mW/23644mW VDD_CPU_SOC_MSS 7487mW/8413mW/12216mW VIN_SYS_5V0 6249mW/9362mW/18677mW VIN 23868mW/32453mW/68156mW
09-09-2026 16:56:07 RAM 30079/125749MB (lfb 4x4MB) CPU [100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,6%@972,1%@972,1%@972,0%@972,1%@972,6%@972] cpu@35.937C/37.656C tj@36.718C/39.781C soc012@35.843C/37.218C gpu@36.718C/39.781C soc345@36.375C/39.187C VDD_GPU 3153mW/7811mW/23644mW VDD_CPU_SOC_MSS 7487mW/8402mW/12216mW VIN_SYS_5V0 6350mW/9326mW/18677mW VIN 23440mW/32345mW/68156mW
