09-04-2026 15:48:35 RAM 13992/125749MB (lfb 278x4MB) CPU [2%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601,0%@972,1%@972] cpu@33.375C/33.687C tj@34.156C/35.437C soc012@33.375C/34.125C soc345@33.812C/35.125C VDD_GPU 4336mW/3534mW/16952mW VDD_CPU_SOC_MSS 7490mW/5543mW/10644mW VIN_SYS_5V0 6652mW/6965mW/15471mW VIN 24462mW/22477mW/58718mW
09-04-2026 15:48:36 RAM 15535/125749MB (lfb 4x4MB) CPU [1%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972] cpu@33.281C/33.687C tj@33.906C/35.437C soc012@33.281C/34.125C soc345@33.593C/35.125C VDD_GPU 3153mW/3526mW/16952mW VDD_CPU_SOC_MSS 7096mW/5576mW/10644mW VIN_SYS_5V0 6350mW/6952mW/15471mW VIN 23178mW/22491mW/58718mW
09-04-2026 15:48:37 RAM 17079/125749MB (lfb 4x4MB) CPU [6%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972] cpu@33.25C/33.687C tj@33.906C/35.437C soc012@33.312C/34.125C soc345@33.5C/35.125C VDD_GPU 2759mW/3510mW/16952mW VDD_CPU_SOC_MSS 7096mW/5607mW/10644mW VIN_SYS_5V0 6350mW/6939mW/15471mW VIN 23422mW/22510mW/58718mW
09-04-2026 15:48:38 RAM 18616/125749MB (lfb 4x4MB) CPU [1%@972,0%@972,0%@972,0%@972,0%@972,1%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972] cpu@33.218C/33.687C tj@33.781C/35.437C soc012@33.343C/34.125C soc345@33.562C/35.125C VDD_GPU 2759mW/3495mW/16952mW VDD_CPU_SOC_MSS 7490mW/5644mW/10644mW VIN_SYS_5V0 6350mW/6928mW/15471mW VIN 24204mW/22543mW/58718mW
09-04-2026 15:48:39 RAM 20168/125749MB (lfb 4x4MB) CPU [1%@972,0%@972,1%@972,0%@972,0%@972,0%@972,0%@972,0%@972,1%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972] cpu@33.156C/33.687C tj@33.687C/35.437C soc012@33.218C/34.125C soc345@33.437C/35.125C VDD_GPU 2759mW/3481mW/16952mW VDD_CPU_SOC_MSS 7490mW/5678mW/10644mW VIN_SYS_5V0 6350mW/6917mW/15471mW VIN 23952mW/22569mW/58718mW
09-04-2026 15:48:40 RAM 21711/125749MB (lfb 4x4MB) CPU [2%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972] cpu@33.25C/33.687C tj@33.812C/35.437C soc012@33.218C/34.125C soc345@33.5C/35.125C VDD_GPU 2759mW/3468mW/16952mW VDD_CPU_SOC_MSS 7096mW/5704mW/10644mW VIN_SYS_5V0 6249mW/6905mW/15471mW VIN 23504mW/22585mW/58718mW
09-04-2026 15:48:41 RAM 23241/125749MB (lfb 3x4MB) CPU [0%@972,0%@972,1%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601,1%@972,0%@972] cpu@33.093C/33.687C tj@33.75C/35.437C soc012@33.218C/34.125C soc345@33.375C/35.125C VDD_GPU 2759mW/3456mW/16952mW VDD_CPU_SOC_MSS 7096mW/5729mW/10644mW VIN_SYS_5V0 6249mW/6893mW/15471mW VIN 23460mW/22600mW/58718mW
09-04-2026 15:48:42 RAM 24792/125749MB (lfb 3x4MB) CPU [1%@972,0%@972,1%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601,2%@972,0%@972] cpu@33.062C/33.687C tj@33.656C/35.437C soc012@33.156C/34.125C soc345@33.375C/35.125C VDD_GPU 2759mW/3444mW/16952mW VDD_CPU_SOC_MSS 7096mW/5752mW/10644mW VIN_SYS_5V0 6249mW/6882mW/15471mW VIN 23610mW/22617mW/58718mW
09-04-2026 15:48:43 RAM 26576/125749MB (lfb 3x4MB) CPU [2%@972,0%@972,0%@2601,82%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,19%@972,0%@972,2%@972,0%@972] cpu@33.375C/33.687C tj@33.718C/35.437C soc012@32.906C/34.125C soc345@33.437C/35.125C VDD_GPU 2759mW/3433mW/16952mW VDD_CPU_SOC_MSS 7884mW/5787mW/10644mW VIN_SYS_5V0 7572mW/6894mW/15471mW VIN 27194mW/22691mW/58718mW
09-04-2026 15:48:44 RAM 20522/125749MB (lfb 5x4MB) CPU [0%@972,1%@972,7%@2601,100%@2601,2%@972,2%@972,0%@972,2%@972,1%@972,0%@972,1%@972,0%@972,0%@972,0%@972] cpu@33.406C/33.687C tj@33.625C/35.437C soc012@33.031C/34.125C soc345@33.375C/35.125C VDD_GPU 2759mW/3422mW/16952mW VDD_CPU_SOC_MSS 8673mW/5833mW/10644mW VIN_SYS_5V0 8494mW/6919mW/15471mW VIN 27968mW/22774mW/58718mW
