N,backend,n_threads,mean_s,std_s,min_s,max_s,n_measures
200,cpp,5,0.00021998077863827348,5.9445252658648375e-05,0.00016056490130722523,0.00029759318567812443,4
500,python,5,0.0020331317791715264,6.192241116911585e-05,0.0019456979352980852,0.0020999698899686337,4
500,cython,5,0.0006043600151315331,1.3088803886756933e-05,0.0005915218498557806,0.0006259910296648741,4
500,c,5,0.00048755313036963344,4.926444930877096e-05,0.00040614884346723557,0.0005338878836482763,4
500,cpp,5,0.0003317982191219926,5.4224766888485456e-05,0.0002776919864118099,0.0004099078942090273,4
800,python,5,0.0031039544846862555,0.00035982206728900476,0.00279802898876369,0.0036875680088996887,4
800,cython,5,0.0012084751506336033,0.0003153674523836622,0.0009952678810805082,0.0017536329105496407,4
800,c,5,0.0004207837046124041,7.23066910051635e-05,0.0003353308420628309,0.0005240209866315126,4
800,cpp,5,0.0003476529964245856,5.098948759960339e-05,0.0002728519029915333,0.0004086969420313835,4
1000,python,5,0.003650143276900053,0.00021104856981986388,0.003364518051967025,0.003959313966333866,4
1000,cython,5,0.0012538505834527314,0.00019448025082987322,0.001126099145039916,0.001589176943525672,4
1000,c,5,0.0004133067559450865,4.4392914580547706e-05,0.0003657999914139509,0.00047032791189849377,4
1000,cpp,5,0.00035821832716464996,1.2114716940841699e-05,0.00034807808697223663,0.0003783691208809614,4
2000,python,5,0.0072151715867221355,0.0010030991578646158,0.006521088071167469,0.008947966154664755,4
2000,cython,5,0.002697564079426229,0.0003427564773188765,0.002373381983488798,0.003253708127886057,4
2000,c,5,0.0005790554569102824,0.00016996034145462077,0.0004276598338037729,0.0008437840733677149,4
2000,cpp,5,0.0004387035151012242,2.4686654808952927e-05,0.00042284303344786167,0.0004814078565686941,4
50,python,8,0.0013161773676984012,0.00021319295225965493,0.0010749809443950653,0.0015857578255236149,4
50,cython,8,0.00016949878772720695,2.3037269174888535e-05,0.00015130313113331795,0.00020855804905295372,4
50,c,8,0.00024583371123299,0.00011556295359628024,0.00015827897004783154,0.000444384990260005,4
50,cpp,8,0.0002599097788333893,6.685758792621607e-05,0.00016819918528199196,0.00032450491562485695,4
100,python,8,0.0014008799334987998,9.233616387398482e-05,0.0012956119608134031,0.0015343199484050274,4
100,cython,8,0.0002191562671214342,5.0147831170626506e-05,0.000184542965143919,0.0003057881258428097,4
100,c,8,0.00021355121862143278,6.629478033688976e-05,0.0001427109818905592,0.00030281301587820053,4
100,cpp,8,0.00015646975953131914,2.5544168023112898e-05,0.00013869511894881725,0.0002005300484597683,4
200,python,8,0.0017935237847268581,0.0002620195591520575,0.0014278751332312822,0.0021687631960958242,4
200,cython,8,0.000293481454718858,2.4336970605991208e-05,0.00027765287086367607,0.0003354970831423998,4
200,c,8,0.00016700976993888617,1.7005522234549212e-05,0.0001523799728602171,0.00019526807591319084,4
200,cpp,8,0.0002074994845315814,4.93528831715225e-05,0.00016367202624678612,0.00028998986817896366,4
500,python,8,0.0020954797510057688,0.00026094650082841977,0.0018875210080295801,0.0025373001117259264,4
500,cython,8,0.0006871740915812552,3.296408219106304e-05,0.0006423701997846365,0.0007206669542938471,4
500,c,8,0.0004369547823444009,0.00014718065162107457,0.00022326200269162655,0.0006213339511305094,4
500,cpp,8,0.00026899995282292366,7.22295008896057e-05,0.00019564596004784107,0.00038895895704627037,4
800,python,8,0.003040720766875893,0.000143359059269273,0.002838512882590294,0.003243965096771717,4
800,cython,8,0.0011412387248128653,0.00015271593222375808,0.0009851220529526472,0.0013346138875931501,4
800,c,8,0.00043486442882567644,8.53451924383837e-05,0.0003623438533395529,0.0005804148968309164,4
800,cpp,8,0.0004164365818724036,5.84861552424462e-05,0.0003310639876872301,0.00048776203766465187,4
1000,python,8,0.003716734005138278,0.0003230952671067404,0.003366952994838357,0.004236612003296614,4
1000,cython,8,0.001227423024829477,0.00011209247907340261,0.0011401199735701084,0.0014166671317070723,4
1000,c,8,0.0004606153233908117,9.821283485709131e-05,0.00034059095196425915,0.0006103641353547573,4
1000,cpp,8,0.0004132204921916127,5.339067443890103e-05,0.00035032001323997974,0.0004715949762612581,4
2000,python,8,0.007752248435281217,0.00039624438091702077,0.007280081044882536,0.008367279777303338,4
2000,cython,8,0.002907930756919086,0.00023857140118401798,0.00251763709820807,0.0031579858623445034,4
2000,c,8,0.0007466684910468757,0.00025732815727088195,0.0005889299791306257,0.0011921089608222246,4
2000,cpp,8,0.0009095352725125849,0.00041314284162967754,0.0005862170364707708,0.001610489096492529,4
